WKT,WKT_GEOMET,accuracy,activity_c,average_di,average_ra,catalog_id,catalog_na,dip_dir,downthrown,downthro_1,epistemic_,exposure_q,fs_name,is_active,last_movem,lower_seis,name,net_slip_r,notes,ogc_fid,reference,shortening,slip_type,strike_sli,upper_seis,vert_sep_r,vertex_index,vertex_part,vertex_part_index,distance,angle
"POINT (-115.612139 32.650793)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"0","0","0",0.00000000000000,127.86494847797557
"POINT (-115.376129 32.467296)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"1","0","1",0.29895128216651,128.25634515685874
"POINT (-115.341379 32.439508)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"2","0","2",0.34344550026280,125.35643738073973
"POINT (-115.286507999999 32.405134)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"3","0","3",0.40819423397327,123.00603031668132
"POINT (-115.236572 32.371519)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"4","0","4",0.46839034947004,125.49438434442636
"POINT (-115.160502 32.314109)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"5","0","5",0.56369277861012,125.68795494053630
"POINT (-115.083805 32.261723)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"6","0","6",0.65657293152235,124.40446873798967
"POINT (-115.007618999999 32.209411)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"7","0","7",0.74898966128570,125.98731711085800
"POINT (-114.933083 32.152218)",,,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,,Dextral,,"(0.0,,)",,"8","0","8",0.84293993826694,127.49976564558160
