WKT,WKT_GEOMET,accuracy,activity_c,average_di,average_ra,catalog_id,catalog_na,dip_dir,downthrown,downthro_1,epistemic_,exposure_q,fs_name,is_active,last_movem,lower_seis,name,net_slip_r,notes,ogc_fid,reference,shortening,slip_type,strike_sli,upper_seis,vert_sep_r,vertex_index,vertex_part,vertex_part_index,distance,angle
"POINT (-115.777449999999 33.402014)",,,,"(90,,)","(180.0,,)",UCF_170,UCERF3,,,,,,,,,"(13.1999998092651,,)",Brawley (Seismic Zone) alt 1,"(21.34,17.53,25.04)",,,,,Dextral,,"(0.0,,)",,"0","0","0",0.00000000000000,156.05545390959782
"POINT (-115.553226 32.897084)",,,,"(90,,)","(180.0,,)",UCF_170,UCERF3,,,,,,,,,"(13.1999998092651,,)",Brawley (Seismic Zone) alt 1,"(21.34,17.53,25.04)",,,,,Dextral,,"(0.0,,)",,"1","0","1",0.55247688374769,156.05545390959782
